"Day 1","HOT! RESULTS","SUBMIT SCORES!","Quarter Lengths by Day","","","","","","","","","","","","","","","","","","","","","",""
"Sat, July 18","","","6-6-7-7","","","","","","","","","","","","","","","","","","","","","",""
"","","C","D","","F","","","","Teams","","","","","","","","","","","","","","","",""
"","","3-SET","D1 (4)-CORONA DEL MAR","","6-TRILOGY","","","","(Seed-Team Name)","","","","","","","","","","","","","","","",""
"","","22-680 BLUE","D2(21)-SOUTH VALLEY","","19-BIG VALLEY","","","","","","","","","","","","","","","","","","","",""
"","","27-LAMORINDA BRENTWOOD","D3(28)-WCAC UNITED B","","30-SHARKS","","","","","","","","","","","","","","","","","","","",""
"","","44-PACIFIC VALLEY PREMIER","","","42-NORCAL TEAL","","","","","","","","","","","","","","","","","","","",""
"","","I","J","","L","","","","","","","","","","","","","","","","","","","",""
"","","9-ASPHALT GREEN","10-WCAC UNITED A","","12-OAHU","","","","","","","","","","","","","","","","","","","",""
"","","16-FOOTHILL","15-LAMORINDA B","","13-STANFORD B","","","","","","","","","","","","","","","","","","","",""
"","","33-SURF CITY","34-LOYOLA VENICE","","36-SHAQ WHITE","","","","","","","","","","","","","","","","","","","",""
"","","40-TRI VALLEY","39-TRI VALLEY TRITONS","","37-SAN JOSE EXPRESS GOLD","","","","Team Travels","","","","","","","","","","","","","","","",""
"","","6 min Quarters","","","","","","","","","","","","","","","","","","","","","","",""
"Sat, July 18","","","","","","","","","","","16GX","","","","","","","","","","","","","",""
"","","","GOLDEN WEST COLLEGE 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","GOLDEN WEST COLLEGE 1","1","3-SET","","44-PACIFIC VALLEY PREMIER","","25","29","16GX-001","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","GOLDEN WEST COLLEGE 1","5","22-680 BLUE","","27-LAMORINDA BRENTWOOD","","25","29","16GX-005","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","GOLDEN WEST COLLEGE 1","9","A1(1)-REGENCY","","A3(25)-LEGACY ORANGE","","bracket","","16GX-009","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","GOLDEN WEST COLLEGE 1","17","2-SAN CLEMENTE","","45-BURLINGAME","","41","45","16GX-017","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","GOLDEN WEST COLLEGE 1","21","23-ALAMEDA","","26-TURUL","","41","45","16GX-021","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","GOLDEN WEST COLLEGE 1","25","W1","","W5","","ag_O1","50","16GX-025","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","GOLDEN WEST COLLEGE 1","33","A2(24)-ROSE BOWL BLACK","","A3(25)-LEGACY ORANGE","","bracket","","16GX-033","","","","","","","","","","","","","",""
