"","HOT! RESULTS ","SUBMIT SCORES! ","Quarter Lengths by Day 6-6-7-7","","","","","","","","","","","","","","","","","","","","","",""
"","","24","Championship Platinum","","","","","","","","","","","","","","","","","","","","","",""
"Sat, July 18","","20","Championship Gold","","","","","","","","","","","","","","","","","","","","","",""
"","","","Seeds","","","","","","","","","","","","","","","","","","","","","",""
"","","C","D","","F","","Team Travels","","","","","","","","","","","","","","","","","",""
"","","C1(3)-LB VIKING BLUE","D1(4)-PATRIOT NAVY","","F1(6)-ALAMEDA","","","","","","","","","","","","","","","","","","","",""
"","","C2(22)-CHICAGO PARK","D2(21)-A TEAM CALLED QUEST","","F2(19)-KERN PREMIER","","","","","","","","","","","","","","","","","","","",""
"","","C3(27)-TRI VALLEY TRITONS","D3(28)-SAND CANYON","","F3(30)-SFV","","","","","","","","","","","","","","","","","","","",""
"","","C4(44)-CENTRAL COAST","D4(43)-MOOSE","","F4(41)-HILO GRAMMAZ","","","","","","","","","","","","","","","","","","","",""
"","","I","J","","L","","","","","","","","","","","","","","","","","","","",""
"","","I1(9)-WCAC UNITED","J1(10)-SOCAL GOLD","","L1(12)-MID VALLEY WHITE","","","","","","","","","","","","","","","","","","","",""
"","","I2(16)-BROOKLYN HUSTLE","J2(15)-SAN JOSE ALMADEN","","L2(13)-PRAETORIAN","","","","","","","","","","","","","","","","","","","",""
"","","I3(33)-BURLINGAME","J3(34)-MAVERICKS","","L3(36)-KEARNS","","","","","","","","","","","","","","","","","","","",""
"","","I4(40)-ATWATER","J4(39)-WILDKIT","","L4(37)-HILO HAMMAHZ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","18GX","","","","","","","","","","","","","",""
"","","","LONG BEACH CC 2","","A B C","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","LONG BEACH CC 2","9","A1(1)-SAN CLEMENTE","","A3(25)-NORTH IRVINE","","","","18GX-009","A","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","LONG BEACH CC 2","13","B1(2)-TSUNAMI","","B3(26)-NC SELECT","","","","18GX-013","B","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","LONG BEACH CC 2","1","C1(3)-LB VIKING BLUE","","C4(44)-CENTRAL COAST","","25","29","18GX-001","C","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","LONG BEACH CC 2","5","C2(22)-CHICAGO PARK","","C3(27)-TRI VALLEY TRITONS","","25","29","18GX-005","C","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","LONG BEACH CC 2","17","A2(24)-CHAWP BLUE","","A3(25)-NORTH IRVINE","","","","18GX-017","A","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","LONG BEACH CC 2","21","B2(23)-SAN JOSE EXPRESS","","B3(26)-NC SELECT","","","","18GX-021","B","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","LONG BEACH CC 2","25","W1","","W5","","","50","18GX-025","1stC","","2ndC","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","LONG BEACH CC 2","29","L1","","L5","","49","","18GX-029","3rdC","","4thC","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","LONG BEACH CC 2","33","A1(1)-SAN CLEMENTE","","A2(24)-CHAWP BLUE","","","","18GX-033","A","","","","","","","","","","","","",""
"18-Jul","4:10 PM","Group","LONG BEACH CC 2","37","B1(2)-TSUNAMI","","B2(23)-SAN JOSE EXPRESS","","","","18GX-037","B","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","LONG BEACH CC 2","49","L26-2ndD","","W29-3rdC","","","","18GX-049","","","","","","","","","","","","","",""
"18-Jul","7:30 PM","2-3 cross","LONG BEACH CC 2","53","2ndB-","","3rdA-","","","","18GX-053","","","","","","","","","","","","","",""
"18-Jul","8:20 PM","2-3 cross","LONG BEACH CC 2","57","2ndA-","","3rdB-","","","","18GX-057","","","","","","","","","","","","","",""
"","","","EDISON HS","","D E F","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","EDISON HS","2","D1(4)-PATRIOT NAVY","","D4(43)-MOOSE","","26","30","18GX-002","D","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","EDISON HS","6","D2(21)-A TEAM CALLED QUEST","","D3(28)-SAND CANYON","","26","30","18GX-006","D","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","EDISON HS","10","E1(5)-SACRAMENTO","","E4(42)-SOUTHSIDE","","34","38","18GX-010","E","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","EDISON HS","14","E2(20)-TRI VALLEY","","E3(29)-LA JOLLA UNITED","","34","38","18GX-014","E","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","EDISON HS","18","F1(6)-ALAMEDA","","F4(41)-HILO GRAMMAZ","","42","46","18GX-018","F","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","EDISON HS","22","F2(19)-KERN PREMIER","","F3(30)-SFV","","42","46","18GX-022","F","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","EDISON HS","26","W2","","W6","","","49","18GX-026","1stD","","2ndD","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","EDISON HS","30","L2","","L6","","50","","18GX-030","3rdD","","4thD","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","EDISON HS","34","W10","","W14","","","58","18GX-034","1stE","","2ndE","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","EDISON HS","38","L10","","L14","","54","","18GX-038","3rdE","","4thD","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","EDISON HS","42","W18","","W22","","","54","18GX-042","1stF","","2ndF","","","","","","","","","","",""
"18-Jul","4:10 PM","Group","EDISON HS","46","L18","","L22","","58","","18GX-046","3rdF","","4thF","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","EDISON HS","50","L25-2ndC","","W30-3rdD","","","","18GX-050","","","","","","","","","","","","","",""
"18-Jul","7:30 PM","2-3 cross","EDISON HS","54","L42-2ndF","","W38-3rdE","","","","18GX-054","","","","","","","","","","","","","",""
"18-Jul","8:20 PM","2-3 cross","EDISON HS","58","L34-2ndE","","W46-3rdF","","","","18GX-058","","","","","","","","","","","","","",""
"","","","SONORA HS","","I G H","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","SONORA HS","11","G1(7)-SANTA BARBARA WPC C","","G3(31)-DART","","","","18GX-011","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","SONORA HS","15","H1(8)-COMMERCE","","H3(32)-CHULA VISTA PREMIER","","","","18GX-015","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","SONORA HS","3","I1(9)-WCAC UNITED","","I4(40)-ATWATER","","27","31","18GX-003","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","SONORA HS","7","I2(16)-BROOKLYN HUSTLE","","I3(33)-BURLINGAME","","27","31","18GX-007","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","SONORA HS","19","G2(18)-A TOWN","","G3(31)-DART","","","","18GX-019","","","","","","","","","","","","","",""
